project,access,agent,granularity,timestamp,views
all-projects,all-access,user,monthly,2015070100,15540018348
all-projects,all-access,user,monthly,2015080100,15765852881
all-projects,all-access,user,monthly,2015090100,15899101083
all-projects,all-access,user,monthly,2015100100,16236521761
all-projects,all-access,user,monthly,2015110100,16094462540
all-projects,all-access,user,monthly,2015120100,15498223133
all-projects,all-access,user,monthly,2016010100,17181240644
all-projects,all-access,user,monthly,2016020100,16001612146
all-projects,all-access,user,monthly,2016030100,16472569725
all-projects,all-access,user,monthly,2016040100,15902875523
all-projects,all-access,user,monthly,2016050100,16256244142
all-projects,all-access,user,monthly,2016060100,15252604626
all-projects,all-access,user,monthly,2016070100,15396084035
all-projects,all-access,user,monthly,2016080100,16274959281
all-projects,all-access,user,monthly,2016090100,15564838312
all-projects,all-access,user,monthly,2016100100,16573593158
all-projects,all-access,user,monthly,2016110100,16859938058
all-projects,all-access,user,monthly,2016120100,16407069073
all-projects,all-access,user,monthly,2017010100,18035197895
all-projects,all-access,user,monthly,2017020100,16218545661
all-projects,all-access,user,monthly,2017030100,17232663197
all-projects,all-access,user,monthly,2017040100,15878962074
all-projects,all-access,user,monthly,2017050100,16461082930
all-projects,all-access,user,monthly,2017060100,14803195034
all-projects,all-access,user,monthly,2017070100,14816414327
all-projects,all-access,user,monthly,2017080100,14924164301
all-projects,all-access,user,monthly,2017090100,14967297278
all-projects,all-access,user,monthly,2017100100,16035623166
all-projects,all-access,user,monthly,2017110100,15809078167
all-projects,all-access,user,monthly,2017120100,15278864945
all-projects,all-access,user,monthly,2018010100,17044313997
all-projects,all-access,user,monthly,2018020100,15205348088
all-projects,all-access,user,monthly,2018030100,16537804908
all-projects,all-access,user,monthly,2018040100,15745012787
all-projects,all-access,user,monthly,2018050100,16367963870
all-projects,all-access,user,monthly,2018060100,15229921309
all-projects,all-access,user,monthly,2018070100,15641883875
all-projects,all-access,user,monthly,2018080100,15484116319
all-projects,all-access,user,monthly,2018090100,15363588842
all-projects,all-access,user,monthly,2018100100,16247618954
all-projects,all-access,user,monthly,2018110100,16137778124
all-projects,all-access,user,monthly,2018120100,15769599166
all-projects,all-access,user,monthly,2019010100,17208898555
all-projects,all-access,user,monthly,2019020100,15312609206
all-projects,all-access,user,monthly,2019030100,16636644459
all-projects,all-access,user,monthly,2019040100,15979815969
all-projects,all-access,user,monthly,2019050100,16647673963
all-projects,all-access,user,monthly,2019060100,15126619700
all-projects,all-access,user,monthly,2019070100,15702692400
all-projects,all-access,user,monthly,2019080100,15713435688
all-projects,all-access,user,monthly,2019090100,15833041653
all-projects,all-access,user,monthly,2019100100,17015981112
all-projects,all-access,user,monthly,2019110100,16417533306
all-projects,all-access,user,monthly,2019120100,15817833388
all-projects,all-access,user,monthly,2020010100,17268839001
all-projects,all-access,user,monthly,2020020100,15889849060
all-projects,all-access,user,monthly,2020030100,17456434631
all-projects,all-access,user,monthly,2020040100,19924157810
all-projects,all-access,user,monthly,2020050100,18403416014
all-projects,all-access,user,monthly,2020060100,15425285725
all-projects,all-access,user,monthly,2020070100,15283869065
all-projects,all-access,user,monthly,2020080100,15325959128
all-projects,all-access,user,monthly,2020090100,15254148504
