project,access,agent,granularity,timestamp,views
all-projects,desktop,user,monthly,2015070100,8934372444
all-projects,desktop,user,monthly,2015080100,8965109595
all-projects,desktop,user,monthly,2015090100,9277717543
all-projects,desktop,user,monthly,2015100100,9337128937
all-projects,desktop,user,monthly,2015110100,9167636024
all-projects,desktop,user,monthly,2015120100,8462335196
all-projects,desktop,user,monthly,2016010100,9328029182
all-projects,desktop,user,monthly,2016020100,8842996088
all-projects,desktop,user,monthly,2016030100,9087814808
all-projects,desktop,user,monthly,2016040100,8814628457
all-projects,desktop,user,monthly,2016050100,8877336947
all-projects,desktop,user,monthly,2016060100,8171346932
all-projects,desktop,user,monthly,2016070100,8236695417
all-projects,desktop,user,monthly,2016080100,8919093326
all-projects,desktop,user,monthly,2016090100,8352918161
all-projects,desktop,user,monthly,2016100100,8965248340
all-projects,desktop,user,monthly,2016110100,9116097231
all-projects,desktop,user,monthly,2016120100,8526657135
all-projects,desktop,user,monthly,2017010100,9159200084
all-projects,desktop,user,monthly,2017020100,8237510185
all-projects,desktop,user,monthly,2017030100,8792775012
all-projects,desktop,user,monthly,2017040100,7974839020
all-projects,desktop,user,monthly,2017050100,8473570302
all-projects,desktop,user,monthly,2017060100,7369962616
all-projects,desktop,user,monthly,2017070100,7120324027
all-projects,desktop,user,monthly,2017080100,7144767342
all-projects,desktop,user,monthly,2017090100,7244661858
all-projects,desktop,user,monthly,2017100100,7929805298
all-projects,desktop,user,monthly,2017110100,7810149659
all-projects,desktop,user,monthly,2017120100,7246238626
all-projects,desktop,user,monthly,2018010100,8060618488
all-projects,desktop,user,monthly,2018020100,7205602041
all-projects,desktop,user,monthly,2018030100,7823003023
all-projects,desktop,user,monthly,2018040100,7368318751
all-projects,desktop,user,monthly,2018050100,7517381579
all-projects,desktop,user,monthly,2018060100,6824860832
all-projects,desktop,user,monthly,2018070100,6856521973
all-projects,desktop,user,monthly,2018080100,6663259179
all-projects,desktop,user,monthly,2018090100,6766929426
all-projects,desktop,user,monthly,2018100100,7323063388
all-projects,desktop,user,monthly,2018110100,7221427447
all-projects,desktop,user,monthly,2018120100,6683133752
all-projects,desktop,user,monthly,2019010100,7340362996
all-projects,desktop,user,monthly,2019020100,6582440185
all-projects,desktop,user,monthly,2019030100,7054203484
all-projects,desktop,user,monthly,2019040100,6725539001
all-projects,desktop,user,monthly,2019050100,6949517122
all-projects,desktop,user,monthly,2019060100,6076574235
all-projects,desktop,user,monthly,2019070100,6219192020
all-projects,desktop,user,monthly,2019080100,6004840260
all-projects,desktop,user,monthly,2019090100,6177878713
all-projects,desktop,user,monthly,2019100100,7007634716
all-projects,desktop,user,monthly,2019110100,6591008015
all-projects,desktop,user,monthly,2019120100,6156871031
all-projects,desktop,user,monthly,2020010100,6765172553
all-projects,desktop,user,monthly,2020020100,6296026307
all-projects,desktop,user,monthly,2020030100,7006238546
all-projects,desktop,user,monthly,2020040100,7790858799
all-projects,desktop,user,monthly,2020050100,6777243300
all-projects,desktop,user,monthly,2020060100,5756010896
all-projects,desktop,user,monthly,2020070100,5388701233
all-projects,desktop,user,monthly,2020080100,5218751370
all-projects,desktop,user,monthly,2020090100,5556517241
