project,access,agent,granularity,timestamp,views
all-projects,mobile-app,user,monthly,2015070100,213708549
all-projects,mobile-app,user,monthly,2015080100,217111626
all-projects,mobile-app,user,monthly,2015090100,194275974
all-projects,mobile-app,user,monthly,2015100100,195293620
all-projects,mobile-app,user,monthly,2015110100,196280768
all-projects,mobile-app,user,monthly,2015120100,203130118
all-projects,mobile-app,user,monthly,2016010100,220693631
all-projects,mobile-app,user,monthly,2016020100,193670175
all-projects,mobile-app,user,monthly,2016030100,211707625
all-projects,mobile-app,user,monthly,2016040100,170508841
all-projects,mobile-app,user,monthly,2016050100,208592044
all-projects,mobile-app,user,monthly,2016060100,203152632
all-projects,mobile-app,user,monthly,2016070100,207910420
all-projects,mobile-app,user,monthly,2016080100,197399903
all-projects,mobile-app,user,monthly,2016090100,174097868
all-projects,mobile-app,user,monthly,2016100100,154076358
all-projects,mobile-app,user,monthly,2016110100,174993165
all-projects,mobile-app,user,monthly,2016120100,256605955
all-projects,mobile-app,user,monthly,2017010100,428465999
all-projects,mobile-app,user,monthly,2017020100,390356899
all-projects,mobile-app,user,monthly,2017030100,382327556
all-projects,mobile-app,user,monthly,2017040100,234403512
all-projects,mobile-app,user,monthly,2017050100,235341849
all-projects,mobile-app,user,monthly,2017060100,224768404
all-projects,mobile-app,user,monthly,2017070100,238441497
all-projects,mobile-app,user,monthly,2017080100,233384027
all-projects,mobile-app,user,monthly,2017090100,223773551
all-projects,mobile-app,user,monthly,2017100100,231581971
all-projects,mobile-app,user,monthly,2017110100,223815571
all-projects,mobile-app,user,monthly,2017120100,234988175
all-projects,mobile-app,user,monthly,2018010100,253500875
all-projects,mobile-app,user,monthly,2018020100,220928095
all-projects,mobile-app,user,monthly,2018030100,240795896
all-projects,mobile-app,user,monthly,2018040100,231370850
all-projects,mobile-app,user,monthly,2018050100,248861422
all-projects,mobile-app,user,monthly,2018060100,238763007
all-projects,mobile-app,user,monthly,2018070100,250645805
all-projects,mobile-app,user,monthly,2018080100,249070621
all-projects,mobile-app,user,monthly,2018090100,232045631
all-projects,mobile-app,user,monthly,2018100100,239013769
all-projects,mobile-app,user,monthly,2018110100,234622336
all-projects,mobile-app,user,monthly,2018120100,251555071
all-projects,mobile-app,user,monthly,2019010100,267448716
all-projects,mobile-app,user,monthly,2019020100,229842717
all-projects,mobile-app,user,monthly,2019030100,251479215
all-projects,mobile-app,user,monthly,2019040100,240585799
all-projects,mobile-app,user,monthly,2019050100,255405066
all-projects,mobile-app,user,monthly,2019060100,245042208
all-projects,mobile-app,user,monthly,2019070100,257331102
all-projects,mobile-app,user,monthly,2019080100,262620356
all-projects,mobile-app,user,monthly,2019090100,247109465
all-projects,mobile-app,user,monthly,2019100100,257501071
all-projects,mobile-app,user,monthly,2019110100,253775287
all-projects,mobile-app,user,monthly,2019120100,272702367
all-projects,mobile-app,user,monthly,2020010100,296714839
all-projects,mobile-app,user,monthly,2020020100,266232743
all-projects,mobile-app,user,monthly,2020030100,279367969
all-projects,mobile-app,user,monthly,2020040100,318773174
all-projects,mobile-app,user,monthly,2020050100,254979295
all-projects,mobile-app,user,monthly,2020060100,42485017
all-projects,mobile-app,user,monthly,2020070100,241199433
all-projects,mobile-app,user,monthly,2020080100,274230568
all-projects,mobile-app,user,monthly,2020090100,259764191
