,year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
0,2008,01,9154428521.0,9154428521.0,,,,
1,2008,02,8843288153.0,8843288153.0,,,,
2,2008,03,9191926623.0,9191926623.0,,,,
3,2008,04,9645856901.0,9645856901.0,,,,
4,2008,05,10696430439.0,10696423954.0,6485.0,,,
5,2008,06,10862643783.0,10862643783.0,,,,
6,2008,07,9872117095.0,9872117095.0,,,,
7,2008,08,9821076284.0,9821076284.0,,,,
8,2008,09,10634498608.0,10634498608.0,,,,
9,2008,10,11060299656.0,11060299656.0,,,,
10,2008,11,10848704518.0,10848704518.0,,,,
11,2008,12,10823161731.0,10823161731.0,,,,
12,2009,01,11883795438.0,11883795438.0,,,,
13,2009,02,10905839181.0,10905839181.0,,,,
14,2009,03,12427916777.0,12427916777.0,,,,
15,2009,04,11355556723.0,11355556723.0,,,,
16,2009,05,12217627255.0,12217627255.0,,,,
17,2009,06,11512035301.0,11512035301.0,,,,
18,2009,07,11125301088.0,11125301088.0,,,,
19,2009,08,11303698817.0,11303698817.0,,,,
20,2009,09,8065942229.0,8065942229.0,,,,
21,2009,10,12204272936.0,12204272936.0,,,,
22,2009,11,11853172517.0,11853172517.0,,,,
23,2009,12,10963469612.0,10963469612.0,,,,
24,2010,01,11613873450.0,11613873450.0,,,,
25,2010,02,11584225546.0,11584225546.0,,,,
26,2010,03,12612180591.0,12612180591.0,,,,
27,2010,04,12118517363.0,12118517363.0,,,,
28,2010,05,12014991244.0,12014991244.0,,,,
29,2010,06,9143143927.0,9143143927.0,,,,
30,2010,07,9612011264.0,9612011264.0,,,,
31,2010,08,13810440568.0,13810440568.0,,,,
32,2010,09,14747707070.0,14747707070.0,,,,
33,2010,10,21193830107.0,21193830107.0,,,,
34,2010,11,13914410749.0,13914410749.0,,,,
35,2010,12,13785527890.0,13785527890.0,,,,
36,2011,01,15137010671.0,15137010671.0,,,,
37,2011,02,13854753844.0,13854753844.0,,,,
38,2011,03,15006089387.0,15006089387.0,,,,
39,2011,04,13899186770.0,13899186770.0,,,,
40,2011,05,14787553914.0,14787553914.0,,,,
41,2011,06,13778335121.0,13778335121.0,,,,
42,2011,07,13653464078.0,13653464078.0,,,,
43,2011,08,13781921201.0,13781921201.0,,,,
44,2011,09,12461779972.0,12461779972.0,,,,
45,2011,10,15469667115.0,15469667115.0,,,,
46,2011,11,16103744977.0,16103744977.0,,,,
47,2011,12,13522398373.0,13522398373.0,,,,
48,2012,01,16904206115.0,16904206115.0,,,,
