project,access-site,granularity,timestamp,count
all-projects,all-sites,monthly,2008010100,9154428521
all-projects,all-sites,monthly,2008020100,8843288153
all-projects,all-sites,monthly,2008030100,9191926623
all-projects,all-sites,monthly,2008040100,9645856901
all-projects,all-sites,monthly,2008050100,10696430439
all-projects,all-sites,monthly,2008060100,10862643783
all-projects,all-sites,monthly,2008070100,9872117095
all-projects,all-sites,monthly,2008080100,9821076284
all-projects,all-sites,monthly,2008090100,10634498608
all-projects,all-sites,monthly,2008100100,11060299656
all-projects,all-sites,monthly,2008110100,10848704518
all-projects,all-sites,monthly,2008120100,10823161731
all-projects,all-sites,monthly,2009010100,11883795438
all-projects,all-sites,monthly,2009020100,10905839181
all-projects,all-sites,monthly,2009030100,12427916777
all-projects,all-sites,monthly,2009040100,11355556723
all-projects,all-sites,monthly,2009050100,12217627255
all-projects,all-sites,monthly,2009060100,11512035301
all-projects,all-sites,monthly,2009070100,11125301088
all-projects,all-sites,monthly,2009080100,11303698817
all-projects,all-sites,monthly,2009090100,8065942229
all-projects,all-sites,monthly,2009100100,12204272936
all-projects,all-sites,monthly,2009110100,11853172517
all-projects,all-sites,monthly,2009120100,10963469612
all-projects,all-sites,monthly,2010010100,11613873450
all-projects,all-sites,monthly,2010020100,11584225546
all-projects,all-sites,monthly,2010030100,12612180591
all-projects,all-sites,monthly,2010040100,12118517363
all-projects,all-sites,monthly,2010050100,12014991244
all-projects,all-sites,monthly,2010060100,9143143927
all-projects,all-sites,monthly,2010070100,9612011264
all-projects,all-sites,monthly,2010080100,13810440568
all-projects,all-sites,monthly,2010090100,14747707070
all-projects,all-sites,monthly,2010100100,21193830107
all-projects,all-sites,monthly,2010110100,13914410749
all-projects,all-sites,monthly,2010120100,13785527890
all-projects,all-sites,monthly,2011010100,15137010671
all-projects,all-sites,monthly,2011020100,13854753844
all-projects,all-sites,monthly,2011030100,15006089387
all-projects,all-sites,monthly,2011040100,13899186770
all-projects,all-sites,monthly,2011050100,14787553914
all-projects,all-sites,monthly,2011060100,13778335121
all-projects,all-sites,monthly,2011070100,13653464078
all-projects,all-sites,monthly,2011080100,13781921201
all-projects,all-sites,monthly,2011090100,12461779972
all-projects,all-sites,monthly,2011100100,15469667115
all-projects,all-sites,monthly,2011110100,16103744977
all-projects,all-sites,monthly,2011120100,13522398373
all-projects,all-sites,monthly,2012010100,16904206115
all-projects,all-sites,monthly,2012020100,15914562348
all-projects,all-sites,monthly,2012030100,15935931009
all-projects,all-sites,monthly,2012040100,15224746147
all-projects,all-sites,monthly,2012050100,16594765361
all-projects,all-sites,monthly,2012060100,16000816161
all-projects,all-sites,monthly,2012070100,16119752292
all-projects,all-sites,monthly,2012080100,16487349535
all-projects,all-sites,monthly,2012090100,16802871171
all-projects,all-sites,monthly,2012100100,18006005024
all-projects,all-sites,monthly,2012110100,17773960203
all-projects,all-sites,monthly,2012120100,17059814199
all-projects,all-sites,monthly,2013010100,19375681518
all-projects,all-sites,monthly,2013020100,17356425943
all-projects,all-sites,monthly,2013030100,18962180732
all-projects,all-sites,monthly,2013040100,17669169013
all-projects,all-sites,monthly,2013050100,18207402998
all-projects,all-sites,monthly,2013060100,17509563492
all-projects,all-sites,monthly,2013070100,18285389443
all-projects,all-sites,monthly,2013080100,20955766755
all-projects,all-sites,monthly,2013090100,22256965351
all-projects,all-sites,monthly,2013100100,24242133946
all-projects,all-sites,monthly,2013110100,23611117576
all-projects,all-sites,monthly,2013120100,15493663209
all-projects,all-sites,monthly,2014010100,15610290445
all-projects,all-sites,monthly,2014020100,15160597805
all-projects,all-sites,monthly,2014030100,16850601985
all-projects,all-sites,monthly,2014040100,15948192977
all-projects,all-sites,monthly,2014050100,16369527707
all-projects,all-sites,monthly,2014060100,15006800584
all-projects,all-sites,monthly,2014070100,15334269983
all-projects,all-sites,monthly,2014080100,15574745798
all-projects,all-sites,monthly,2014090100,17096150766
all-projects,all-sites,monthly,2014100100,22111076920
all-projects,all-sites,monthly,2014110100,21017639208
all-projects,all-sites,monthly,2014120100,21428580370
all-projects,all-sites,monthly,2015010100,21513367130
all-projects,all-sites,monthly,2015020100,19188220063
all-projects,all-sites,monthly,2015030100,21249523780
all-projects,all-sites,monthly,2015040100,20737162859
all-projects,all-sites,monthly,2015050100,21201653532
all-projects,all-sites,monthly,2015060100,18001701244
all-projects,all-sites,monthly,2015070100,18751521916
all-projects,all-sites,monthly,2015080100,18135219699
all-projects,all-sites,monthly,2015090100,18627063151
all-projects,all-sites,monthly,2015100100,19372991616
all-projects,all-sites,monthly,2015110100,19132611015
all-projects,all-sites,monthly,2015120100,19181033226
all-projects,all-sites,monthly,2016010100,20584190813
all-projects,all-sites,monthly,2016020100,19173990600
all-projects,all-sites,monthly,2016030100,19905096258
all-projects,all-sites,monthly,2016040100,19760897612
all-projects,all-sites,monthly,2016050100,19651555627
all-projects,all-sites,monthly,2016060100,18449322197
