project,access-site,granularity,timestamp,count
all-projects,mobile-site,monthly,2008050100,6485
all-projects,mobile-site,monthly,2012060100,1218
all-projects,mobile-site,monthly,2012070100,15584
all-projects,mobile-site,monthly,2012080100,59161
all-projects,mobile-site,monthly,2012090100,52675
all-projects,mobile-site,monthly,2012100100,82752
all-projects,mobile-site,monthly,2012110100,325996
all-projects,mobile-site,monthly,2012120100,477367
all-projects,mobile-site,monthly,2013010100,529501
all-projects,mobile-site,monthly,2013020100,610538
all-projects,mobile-site,monthly,2013030100,907958
all-projects,mobile-site,monthly,2013040100,831226
all-projects,mobile-site,monthly,2013050100,881158
all-projects,mobile-site,monthly,2013060100,991357
all-projects,mobile-site,monthly,2013070100,1089009
all-projects,mobile-site,monthly,2013080100,2430217
all-projects,mobile-site,monthly,2013090100,3448308
all-projects,mobile-site,monthly,2013100100,3335150
all-projects,mobile-site,monthly,2013110100,2679862
all-projects,mobile-site,monthly,2013120100,2746925
all-projects,mobile-site,monthly,2014010100,2624359
all-projects,mobile-site,monthly,2014020100,2415766
all-projects,mobile-site,monthly,2014030100,2564838
all-projects,mobile-site,monthly,2014040100,2519532
all-projects,mobile-site,monthly,2014050100,5470491
all-projects,mobile-site,monthly,2014060100,5213187
all-projects,mobile-site,monthly,2014070100,12304292
all-projects,mobile-site,monthly,2014080100,6487607
all-projects,mobile-site,monthly,2014090100,12795978
all-projects,mobile-site,monthly,2014100100,6621797577
all-projects,mobile-site,monthly,2014110100,6630340569
all-projects,mobile-site,monthly,2014120100,7415555195
all-projects,mobile-site,monthly,2015010100,7353242427
all-projects,mobile-site,monthly,2015020100,6555236524
all-projects,mobile-site,monthly,2015030100,7126928526
all-projects,mobile-site,monthly,2015040100,6979205476
all-projects,mobile-site,monthly,2015050100,7272845027
all-projects,mobile-site,monthly,2015060100,6507554261
all-projects,mobile-site,monthly,2015070100,6829792464
all-projects,mobile-site,monthly,2015080100,6987041642
all-projects,mobile-site,monthly,2015090100,6807182640
all-projects,mobile-site,monthly,2015100100,7144568344
all-projects,mobile-site,monthly,2015110100,7081711776
all-projects,mobile-site,monthly,2015120100,7303983095
all-projects,mobile-site,monthly,2016010100,8090643281
all-projects,mobile-site,monthly,2016020100,7286465009
all-projects,mobile-site,monthly,2016030100,7579221480
all-projects,mobile-site,monthly,2016040100,7293875461
all-projects,mobile-site,monthly,2016050100,7563784942
all-projects,mobile-site,monthly,2016060100,7175978277
