project,access,agent,granularity,timestamp,views
all-projects,mobile-web,user,monthly,2015070100,6391937355
all-projects,mobile-web,user,monthly,2015080100,6583631660
all-projects,mobile-web,user,monthly,2015090100,6427107566
all-projects,mobile-web,user,monthly,2015100100,6704099204
all-projects,mobile-web,user,monthly,2015110100,6730545748
all-projects,mobile-web,user,monthly,2015120100,6832757819
all-projects,mobile-web,user,monthly,2016010100,7632517831
all-projects,mobile-web,user,monthly,2016020100,6964945883
all-projects,mobile-web,user,monthly,2016030100,7173047292
all-projects,mobile-web,user,monthly,2016040100,6917738225
all-projects,mobile-web,user,monthly,2016050100,7170315151
all-projects,mobile-web,user,monthly,2016060100,6878105062
all-projects,mobile-web,user,monthly,2016070100,6951478198
all-projects,mobile-web,user,monthly,2016080100,7158466052
all-projects,mobile-web,user,monthly,2016090100,7037822283
all-projects,mobile-web,user,monthly,2016100100,7454268460
all-projects,mobile-web,user,monthly,2016110100,7568847662
all-projects,mobile-web,user,monthly,2016120100,7623805983
all-projects,mobile-web,user,monthly,2017010100,8447531812
all-projects,mobile-web,user,monthly,2017020100,7590678577
all-projects,mobile-web,user,monthly,2017030100,8057560629
all-projects,mobile-web,user,monthly,2017040100,7669719542
all-projects,mobile-web,user,monthly,2017050100,7752170779
all-projects,mobile-web,user,monthly,2017060100,7208464014
all-projects,mobile-web,user,monthly,2017070100,7457648803
all-projects,mobile-web,user,monthly,2017080100,7546012932
all-projects,mobile-web,user,monthly,2017090100,7498861869
all-projects,mobile-web,user,monthly,2017100100,7874235897
all-projects,mobile-web,user,monthly,2017110100,7775112937
all-projects,mobile-web,user,monthly,2017120100,7797638144
all-projects,mobile-web,user,monthly,2018010100,8730194634
all-projects,mobile-web,user,monthly,2018020100,7778817952
all-projects,mobile-web,user,monthly,2018030100,8474005989
all-projects,mobile-web,user,monthly,2018040100,8145323186
all-projects,mobile-web,user,monthly,2018050100,8601720869
all-projects,mobile-web,user,monthly,2018060100,8166297470
all-projects,mobile-web,user,monthly,2018070100,8534716097
all-projects,mobile-web,user,monthly,2018080100,8571786519
all-projects,mobile-web,user,monthly,2018090100,8364613785
all-projects,mobile-web,user,monthly,2018100100,8685541797
all-projects,mobile-web,user,monthly,2018110100,8681728341
all-projects,mobile-web,user,monthly,2018120100,8834910343
all-projects,mobile-web,user,monthly,2019010100,9601086843
all-projects,mobile-web,user,monthly,2019020100,8500326304
all-projects,mobile-web,user,monthly,2019030100,9330961760
all-projects,mobile-web,user,monthly,2019040100,9013691169
all-projects,mobile-web,user,monthly,2019050100,9442751775
all-projects,mobile-web,user,monthly,2019060100,8805003257
all-projects,mobile-web,user,monthly,2019070100,9226169278
all-projects,mobile-web,user,monthly,2019080100,9445975072
all-projects,mobile-web,user,monthly,2019090100,9408053475
all-projects,mobile-web,user,monthly,2019100100,9750845325
all-projects,mobile-web,user,monthly,2019110100,9572750004
all-projects,mobile-web,user,monthly,2019120100,9388259990
all-projects,mobile-web,user,monthly,2020010100,10206951609
all-projects,mobile-web,user,monthly,2020020100,9327590010
all-projects,mobile-web,user,monthly,2020030100,10170828116
all-projects,mobile-web,user,monthly,2020040100,11814525837
all-projects,mobile-web,user,monthly,2020050100,11371193419
all-projects,mobile-web,user,monthly,2020060100,9626789812
all-projects,mobile-web,user,monthly,2020070100,9653968399
all-projects,mobile-web,user,monthly,2020080100,9832977190
all-projects,mobile-web,user,monthly,2020090100,9437867072
